"","animalN","name","DOB","species","breed","color","gender","licenseN","licenseStatus","statusDT","licenseType","licenseIssuer","licenseCost","licenseLength","expireD","renewal","rabiesVac","vacDate","reVacD","provider"
"10668","A19442769","Jola","","Dog","Retriever, Golden / Mix","Golden","Yes / Male","0308","Inactive","1/2/2014 3:33:02 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10671","A19444246","Ozzy","1/25/2005","Dog","Border Collie","Black / Brown","Yes / Male","0330","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10674","A19485662","McDuff","","Dog","Xoloitzcuintli / Mix","Black / White","Yes / Male","0174","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10677","A19485694","Gibbs","1/1/2008","Dog","Coonhound, Black and Tan","Black / Tan","Yes / Male","0305","Inactive","7/18/2014 12:05:11 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10680","A19485728","Cheetah","","Dog","Australian Shepherd","Blue","Yes / Female","0309","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10683","A19350758","Barclay","","Dog","Spaniel, American Cocker","Black","Yes / Male","3113","Inactive","1/14/2014 11:56:53 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10686","A19435413","Daisy","1/30/2007","Dog","German Shepherd / Mix","Black / Tan","Yes / Female","3158","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10689","A16365857","Poo","6/4/2009","Dog","Terrier, Pit Bull / Mix","Brindle / White","Yes / Female","5181","Inactive","7/5/2013 9:34:23 PM","Dog License S/N","DC","$15.00","","6/30/2013","No","","","",""
"10692","A16059785","Max","4/27/2010","Dog","Retriever, Labrador / Mix","Yellow","Yes / Male","2265","Expired","6/30/2012 12:00:00 AM","Dog License S/N","DC","$15.00","","6/30/2012","No","","","",""
"10695","A15982288","Vegas","4/17/2008","Dog","Pointer, German Wirehaired / Mix","White / Liver","Yes / Female","4707","Expired","4/17/2013 12:00:00 AM","Dog License S/N","DC","$15.00","","4/17/2013","No","","","",""
"10698","A16084336","Jack","5/1/2002","Dog","Terrier, Yorkshire","Brown","Yes / Female","5099","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC","$15.00","","6/30/2013","No","","","",""
"10701","A16117023","Mama","5/4/2009","Dog","Retriever, Labrador / Bulldog, American","Brown / Tan","Yes / Female","5083","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Animal Care and Control","$15.00","","6/30/2013","No","","","",""
"10704","A16028701","Blondie","4/23/1997","Dog","Terrier / Mix","Tan / White","Yes / Female","4754","Expired","6/30/2012 12:00:00 AM","Dog License S/N","DC","$15.00","","6/30/2012","No","","","",""
"10707","A19265109","King","7/26/2011","Dog","Terrier, Sealyham / Mix","Grey","Yes / Male","4188","Expired","4/27/2016 1:00:00 AM","Dog License S/N","Washington Humane Society","$15.00","","6/30/2013","No","","","",""
"10710","A19265228","Millie","3/1/2010","Dog","Spaniel, Cavalier King Charles","Brown / Black","Yes / Female","4191","Inactive","12/17/2013 3:21:55 PM","Dog License S/N","Washington Humane Society","$15.00","","6/30/2013","No","","","",""
"10713","A19266062","Maggie","11/18/2005","Dog","Retriever, Labrador / Mix","Red / Orange","Yes / Female","4199","Expired","4/27/2016 1:00:00 AM","Dog License S/N","Washington Humane Society","$15.00","","6/30/2013","No","","","",""
"10716","A19263990","Leonardo","3/1/2006","Dog","Chihuahua, Long Coat","Tan","Yes / Male","4130","Expired","4/27/2016 1:00:00 AM","Dog License S/N","Washington Humane Society","$15.00","","6/30/2013","No","","","",""
"10719","A19258742","Cooper","2/28/2006","Dog","Weimaraner","Grey","Yes / Male","3568","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10722","A19260165","Sybil","1/6/2002","Dog","Weimaraner","Blue","Yes / Female","2156","Inactive","8/1/2013 12:08:25 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10725","A19255751","pimpkin","","Dog","Chihuahua, Short Coat / Mix","Brown","Yes / Male","2121","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10728","A19518543","Reese","9/26/2011","Dog","Terrier, Pit Bull / Mix","Brindle","Yes / Female","4908","Expired","4/27/2016 1:00:00 AM","Dog License S/N","National Capital Area Spay and Neuter Center","$15.00","","6/30/2013","No","","","",""
"10731","A19529982","DJ","3/28/2012","Dog","Terrier, Pit Bull / Mix","Brindle","Yes / Male","4948","Expired","4/27/2016 1:00:00 AM","Dog License S/N","National Capital Area Spay and Neuter Center","$15.00","","6/30/2013","No","","","",""
"10734","A19530441","Honi","9/28/2011","Dog","Boerboel / Terrier, Pit Bull","Fawn / Golden","Yes / Female","4653","Expired","4/27/2016 1:00:00 AM","Dog License S/N","National Capital Area Spay and Neuter Center","$15.00","","6/30/2013","No","","","",""
"10737","A16351241","Kiah Marie","6/2/2008","Dog","Australian Cattle Dog / Mix","Black / White","Yes / Female","5190","Inactive","5/18/2014 4:15:49 PM","Dog License S/N","DC","$15.00","","6/30/2013","No","","","",""
"10740","A16413630","Mosely","6/9/2004","Dog","Retriever / Mix","Brown","Yes / Male","5118","Inactive","4/12/2014 12:30:06 PM","Dog License S/N","DC","$15.00","","6/30/2013","No","","","",""
"10743","A15462022","Shadow","2/21/1998","Dog","Terrier / Mix","Black / White","No / Male","5157","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Animal Care and Control","$15.00","","6/30/2013","No","","","",""
"10746","A16084292","Cheri","5/1/2006","Dog","Poodle, Miniature","White","Yes / Female","5100","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC","$15.00","","6/30/2013","No","","","",""
"10749","A15887169","Shaggy","4/3/1999","Dog","Shih Tzu","White / Tan","Yes / Male","4701","Cancelled (No longer owns)","6/20/2014 12:06:21 PM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2012","No","","","",""
"10752","A14183492","Roni","9/10/2009","Dog","Boxer / Mix","Fawn","Yes / Female","5351","Expired","9/30/2012 12:00:00 AM","Dog License S/N","DC","$15.00","","9/30/2012","No","","","",""
"10755","A14183492","Roni","9/10/2009","Dog","Boxer / Mix","Fawn","Yes / Female","1042","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10758","A13867109","Java","2/18/2008","Dog","German Shepherd / Mix","Black / Tan","Yes / Female","5090","Expired","8/19/2012 12:00:00 AM","Dog License S/N","RF","$15.00","","8/19/2012","No","","","",""
"10761","A13905046","Nena","8/25/2008","Dog","Retriever, Labrador / Mix","Black","Yes / Female","5087","Expired","8/25/2012 12:00:00 AM","Dog License S/N","DC","$15.00","","8/25/2012","No","","","",""
"10764","A13905046","Nena","8/25/2008","Dog","Retriever, Labrador / Mix","Black","Yes / Female","4230","Expired","4/27/2016 1:00:00 AM","Dog License S/N","WHS-WARL","$15.00","","6/30/2013","No","","","",""
"10767","A12390380","Aria","4/20/2010","Dog","Papillon / Mix","Red / White","Yes / Female","5700","Expired","6/30/2012 12:00:00 AM","Dog License S/N","DCACC","$15.00","","6/30/2012","No","","","",""
"10770","A11822320","Mara","1/5/2010","Dog","Catahoula Leopard dog / Mix","Blue","Yes / Female","2383","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10773","A19538474","Tito","3/29/2012","Dog","Dachshund, Standard Smooth Haired / Mix","Liver / White","Yes / Male","1521","Inactive","1/29/2014 4:28:59 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10776","A19538604","Duke","","Dog","Terrier, American Pit Bull / Mix","Brown","Yes / Male","0467","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10779","A19551640","Kobe","4/1/2004","Dog","Spaniel, American Cocker / Mix","Chocolate","Yes / Male","1587","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10782","A19551733","Allie","4/1/2012","Dog","Retriever, Golden / Mix","Black","Yes / Female","0019","Inactive","4/25/2014 5:29:08 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10785","A19551874","Jack","","Dog","German Shepherd / Mix","Black / Brown","Yes / Male","1694","Inactive","8/24/2013 6:02:25 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10788","A19552701","Freddie Mercury","11/29/2010","Dog","Xoloitzcuintli / Mix","Brindle","Yes / Female","0367","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10791","A19485921","Louie","7/18/2007","Dog","Terrier, West Highland White","White","Yes / Male","0353","Inactive","1/14/2014 12:10:56 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10794","A13850329","Missy","8/18/2009","Dog","Terrier, Pit Bull / Mix","Chocolate / White","Yes / Female","5093","Expired","8/18/2012 12:00:00 AM","Dog License S/N","DCACC","$15.00","","8/18/2012","No","","","",""
"10797","A13901184","Ace","8/24/2000","Dog","Terrier, Jack Russell / Mix","Brown / Black","Yes / Male","5023","Expired","6/30/2012 12:00:00 AM","Dog License S/N","DC","$15.00","","6/30/2012","No","","","",""
"10800","A13901184","Ace","8/24/2000","Dog","Terrier, Jack Russell / Mix","Brown / Black","Yes / Male","1566","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10803","A11913039","Zula","5/21/2008","Dog","Terrier, Pit Bull / Mix","Brown","Yes / Female","5274","Expired","8/2/2012 12:00:00 AM","Dog License S/N","DC","$15.00","","8/2/2012","No","","","",""
"10806","A12178078","Connor","1/6/2004","Dog","German Shepherd","Black / Brown","Yes / Male","5495","Expired","10/21/2012 12:00:00 AM","Dog License S/N","DC","$15.00","","10/21/2012","No","","","",""
"10809","A12209298","Freya","3/18/2010","Dog","Terrier, Pit Bull / Mix","White / Brown","Yes / Female","1739","Inactive","4/21/2014 3:10:24 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10812","A12390380","Aria","4/20/2010","Dog","Papillon / Mix","Red / White","Yes / Female","5002","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC","$15.00","","6/30/2013","No","","","",""
"10815","A15831451","Rocky","3/28/1999","Dog","Schnauzer, Miniature / Mix","Grey","No / Male","3905","Expired","6/30/2012 12:00:00 AM","Dog License S/N","DC","$15.00","","6/30/2012","No","","","",""
"10818","A15654865","Jake","4/16/2003","Dog","Hound / Mastiff","Brown","Yes / Male","5009","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC","$15.00","","6/30/2013","No","","","",""
"10821","A14562773","Sargent Pickles","11/23/2009","Dog","Mastiff","Black / Brown","Yes / Male","5101","Expired","11/23/2012 12:00:00 AM","Dog License S/N","DC","$15.00","","11/23/2012","No","","","",""
"10824","A19490967","Rascal","6/8/2011","Dog","Terrier, Rat","Black / Tan","Yes / Male","2249","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10827","A19554407","Zsa Zsa","4/1/2008","Dog","Spaniel, American Cocker / Poodle, Miniature","Black","Yes / Female","1132","Inactive","1/9/2014 12:08:20 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10830","A19554607","Riley","","Dog","Retriever, Labrador / Mix","Black","Yes / Male","2357","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10833","A19556052","Bodhi","4/1/2012","Dog","Terrier, American Pit Bull / Mix","Silver","Yes / Male","2320","Inactive","1/24/2014 3:42:35 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10836","A19556077","Jasper","","Dog","Terrier, Boston / Mix","Black / White","Yes / Male","0848","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10839","A19559623","Zeus the Moose","4/2/2009","Dog","Saint Bernard / Mix","Black / Brown","Yes / Male","2147","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10842","A19560734","Taco","","Dog","Terrier, Norfolk / Mix","Tan","Yes / Male","0924","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10845","A16631421","Quincy","7/3/2006","Dog","German Shepherd","Black / Brown","Yes / Unknown","5236","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC","$15.00","","6/30/2013","No","","","",""
"10848","A16723391","Leo","7/14/2007","Dog","German Pinscher / Mix","Tan / White","Yes / Male","1269","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2014","No","","","",""
"10851","A16806008","Edmond","7/24/2010","Dog","Terrier, Pit Bull","Grey / White","Yes / Male","5264","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC","$15.00","","6/30/2013","No","","","",""
"10854","A14027403","Trudy","9/10/1999","Dog","Retriever, Labrador / Mix","Black","Yes / Female","5077","Expired","9/10/2012 12:00:00 AM","Dog License S/N","DC","$15.00","","9/10/2012","No","LIC Rabies","1/11/2014","1/11/2017",""
"10857","A13240372","Sassy","6/2/2008","Dog","German Shepherd / Mix","Black / Tan","No / Female","5678","Expired","6/2/2012 12:00:00 AM","Dog License S/N","DCACC","$15.00","","6/2/2012","No","LIC Rabies","6/4/2014","5/31/2017",""
"10860","A19642183","Indigo","4/13/2012","Dog","Shepherd / Bulldog, American","Brown / White","Yes / Female","0153","Inactive","1/14/2014 12:07:29 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10863","A19642222","Nandi","","Dog","Boerboel","Brindle / Brindle","Yes / Female","0170","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10866","A19642347","Zimmer","7/16/2006","Dog","Chihuahua, Short Coat","Black","Yes / Male","0237","Inactive","1/10/2014 10:57:01 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10869","A19642456","Jack","","Dog","Retriever, Labrador","Yellow","Yes / Male","0321","Inactive","4/1/2014 10:57:22 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10872","A19642481","Julia","4/13/2012","Dog","Retriever, Labrador / Mix","Golden","Yes / Female","0324","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10875","A19642651","Tyr","4/13/2011","Dog","Terrier, Pit Bull / Mix","Red / Brown","Yes / Male","0399","Inactive","1/29/2014 12:09:55 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10878","A19647095","Zoe","4/13/2011","Dog","Vizsla, Smooth Haired / Mix","Brown / White","Yes / Female","0493","Inactive","2/11/2014 11:21:27 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10881","A16301010","Diesel","","Dog","German Shepherd / Chow Chow","Butterscotch","Yes / Male","5200","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC","$15.00","","6/30/2013","No","SNC VAC RABIES","6/14/2012","","Chyna Cork"
"10884","A16283676","Gangsta","5/24/2002","Dog","Terrier, Pit Bull / Mix","White / Black","Yes / Male","5040","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Animal Care and Control","$15.00","","6/30/2013","No","VAC RABIES","5/30/2012","","Beau Archer"
"10887","A13372232","Uffda","","Dog","Retriever, Labrador / Mix","Black","Yes / Female","5520","Expired","6/30/2012 12:00:00 AM","Dog License S/N","Nichelle Bolden","$15.00","","6/30/2012","No","","","",""
"10890","A13430467","Mr. Big","6/25/2004","Dog","Dachshund, Miniature Smooth Haired","Red","Yes / Male","5574","Expired","6/25/2012 12:00:00 AM","Dog License S/N","Nichelle Bolden","$15.00","","6/25/2012","No","","","",""
"10893","A13572623","Lola","7/13/2009","Dog","Terrier, Jack Russell / Mix","White / Grey","Yes / Female","5218","Expired","6/30/2012 12:00:00 AM","Dog License S/N","DCACC/CSC","$15.00","","6/30/2012","No","","","",""
"10896","A16283569","Kobi Cane","10/24/2011","Dog","Shepherd / Mix","Brown / Black","Yes / Male","5073","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC","$15.00","","6/30/2013","No","","","",""
"10899","A19647193","Cleopatra","","Dog","Terrier, Fox, Wire","Black / White","Yes / Female","0807","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10902","A19647427","Phoebe","","Dog","Boxer","Brindle / Brindle","Yes / Female","0993","Inactive","1/9/2014 11:21:12 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
"10905","A19647461","Guthrie","1/1/2006","Dog","Xoloitzcuintli / Mix","Black / White","Yes / Male","1162","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2013","No","","","",""
